ts,hypothesis,arm,market,tf,n_trades,pf,sharpe,expected_days,pass_rate,null_margin,verdict,prereg,params,note
2026-09-01,H-001,"**filtered walk-forward re-run keeping trades**, then risk ladder + prop sim on that output",BTCUSDT,15m,0,1.165,0.39,7819.0,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","PF 0.851 at 2x. 13/31 quarters >1. At the only risk level whose DD fits the 8% cap, **97% of accounts never resolve inside 400 days**; every faster level breaches the cap. Board score 2.5/10"
2026-09-01,H-002,"**walk-forward**, 12m train / 3m test, config AND filter re-chosen blind each fold, 44 market x tf x 4 selection rules","9 assets, 5",TFs,0,0.909,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}",176 stitched series; only 36.4% above breakeven; 41/176 clear 1.20; 4/44 combos clear under all four selection rules
2026-09-01,H-002,same walk-forward on phase-randomised markets (null benchmark),"9 assets, 5",TFs,0,0.756,nan,nan,nan,nan,NULL,,"{""source"": ""STRATEGY_LOG.md backfill""}",6/176 cells clear 1.20 vs 41 real; 1/44 combos clears all four rules vs 4 real; but shuffled best 2.496 > real best 1.832
2026-09-01,H-002,"walk-forward leg: BTCUSDT 4h, floor 100, single best config per fold",BTCUSDT,4h,0,1.502,0.98,121.7,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}",PF 1.239 at 2x. Positive in every calendar year 2019-2026 (1.099-2.091). 23/30 quarters >1. 97th pctile of the null. DD alone breaches the 8% cap
2026-09-01,H-002,"walk-forward leg: XAUUSD 5m, floor 100, top-10 book",XAUUSD,5m,0,1.669,1.92,46.6,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}",PF 1.466 at 2x. 6/7 quarters >1. Only 7 quarters of data. 97th pctile of the null
2026-09-01,H-002,walk-forward legs dropped on recency: BTCUSDT 30m and 1h,BTCUSDT,30m/1h,0,nan,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}",clear 1.20 over 30 quarters but lose -34R and -48R since 2024-09; the edge is pre-2024 only
2026-09-01,H-002,"two-leg walk-forward book: BTCUSDT 4h + XAUUSD 5m, equal weight",2,markets,0,1.435,1.53,128.0,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","PF 1.218 at 2x. 82% pass, 0% max-loss breach, median 84 days. DD inside the cap. Too slow for the phase"
2026-09-01,H-002,"four-leg book incl. the two dropped BTC legs, common window",4,markets,0,1.018,0.11,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}",stage 5's diversification result does not survive walk-forward: adding the pre-2024-only legs drags the book to breakeven
2026-09-01,H-002,"risk-per-trade ladder on the two-leg walk-forward book, 7 levels",BTCUSDT 4h + XAUUSD,5m,0,1.447,1.89,75.0,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","1.00% risk dominates the 0.75% used earlier: pass 85.2% vs 85.0%, 64 vs 81 median days, both 0% breach. 1.50% reaches 53 days but DD -10.9% breaches the cap"
2026-09-01,H-002,"**paired-lift study**: rvol 1.0-2.5, 5 hour windows, direction, across all 44 combos",9,assets,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}",64.6% of configs improved. rvol>1.5 (what we were using) lifts +0.038 but improves only 49.8% — a coin flip. Hour windows +0.010 (~50%) — ORB's session finding does NOT transfer. Direction filters neg
2026-09-01,H-002,walk-forward re-run with rvol 2.0/2.5 added to the grid,"9 assets, 5",TFs,0,0.887,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","survivors 4→**6**, cells clearing at 2x 12→**17**, best 1.832→**2.745**. Folds chose a participation filter in 498/536 cases (rvol>2.5 in 332)"
2026-09-01,H-002,**paired-volume null** (each bar keeps its own volume; only sequence shuffled),9,assets,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}",Stricter than the old null (11 gate-clearing cells vs 6) because the old one destroyed a +0.47 volume/return correlation and handed volume filters a free win. Real 39 cells / 6 survivors vs paired nul
2026-09-01,H-002,"6-leg book, walk-forward, 1.00% risk",BTC 15m/30m/1h/4h + XAUUSD,5m/30m,0,1.432,3.23,59.0,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}",was 75 expected days / 2 legs. All 6 legs positive since 2024-09. Board 7.6→**8.0**
2026-09-01,H-002,**CORRECTION**: 6-leg book re-checked at 2x cost,6,legs,0,1.441,nan,95.0,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","PF at 2x only **1.053**. Four of the six legs collapse alone at 2x (BTC 15m 1.067, BTC 1h 1.017, BTC 30m 0.939, XAU 30m 1.025). Leg selection had used 1x PF only"
2026-09-01,H-002,"subset search: which books hold PF 1.20 at 2x, tradeable (1 config/leg)",all 63 subsets of the 6,legs,0,nan,nan,nan,nan,nan,PASS,,"{""source"": ""STRATEGY_LOG.md backfill""}","BTCUSDT 4h + XAUUSD 5m (1.233), BTCUSDT 4h alone (1.214), XAUUSD 5m alone (1.243). Nothing else survives cost doubling"
2026-09-01,H-002,"**corrected board candidate**: BTC 4h + XAUUSD 5m, 1 config each, 1.00% risk",2,markets,0,1.461,nan,61.0,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","**PF 1.233 at 2x** — clears the gate. 2 positions, 0.67 trades/day. R/day +0.084, maxDD 13.2R→7.5% at 1% risk. Real improvement over the pre-rvol book (75→61 days) but far smaller than the 6-leg book "
2026-09-01,H-002,"**2x-cost fold selector**: configs chosen by train PF at double cost, target set only",BTC 15m/30m/1h/4h + XAU 5m/30m + XAG,15m/1h,0,nan,nan,52.5,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","PF at 2x **1.313**; paired-volume null had 0 robust survivors and 0 cells clearing PF2x 1.20. Board score 8.0→8.5. Best tradeable book: BTC 30m + BTC 4h + XAU 30m + XAU 5m, floor 100/top 1, 1.00% risk"
2026-09-01,H-003,full grid: 4 exits (A cross-back / B price-EMA / C fixed R / D session close) × slope filter on-off × 7 TFs × 2 VWAP anc,"9 assets,",3m-1d,0,0.705,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","284,544 backtests. Real median 0.705 vs **shuffled 0.757** — real scores WORSE than phase-randomised copies. Best 2.512 vs null best 2.478"
2026-09-01,H-003,"exit variants compared, real 1x",9,assets,0,nan,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","all four exits below breakeven on the median; D (session close) best, B (price/EMA) worst"
2026-09-01,H-003,"variant E slope filter, PAIRED lift on the median",9,assets,0,0.024,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","16,909 paired configs; median 0.698 → 0.674; only 49.2% improved. Joins BE stops and retest entries"
2026-09-01,H-003,cost stress,9,assets,0,nan,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","1,231 clear 1.20 at 1x → 471 at 2x → 231 at 3x; **0 clear 1.20 at 2x with ≥0.5 trades/day**"
2026-09-01,H-003,"**walk-forward**, 12m/3m quarterly, 48 combos × 4 selection rules","9 assets,",3m-4h,0,0.808,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}",10/192 cells clear 1.20; 1 combo clears under all four rules
2026-09-01,H-003,same walk-forward on phase-randomised markets,9,assets,0,0.791,nan,nan,nan,nan,NULL,,"{""source"": ""STRATEGY_LOG.md backfill""}","**17/198 null cells clear 1.20 vs 10/192 real**; 2 null combos clear all four rules vs 1 real. Null survivors stronger (worst 1.659, 1.565) than the real one (1.271)"
2026-09-01,H-003,"best cell: XAUUSD 1h, floor 30 / top 10",XAUUSD,1h,0,2.356,nan,134.0,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","2.117 at 2x, 7/7 quarters >1, beats its own shuffled twin 2.356 vs 0.596 — but it is 1 survivor in 48 and the null produced 2. Board 4.0/10, null-capped"
2026-09-01,H-003,"paired-lift study, same levers",9,assets,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","71.7% improved; rvol>1.0 improves 74.6%, the highest rate in the repo. NY open +0.061. Slope filter confirmed negative"
2026-09-01,H-003,"walk-forward re-run: slope filter REMOVED, rvol axis added","9 assets,",3m-4h,0,0.827,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","cells clearing 1.20 10→15, best 2.356→**4.292**, but **survivors 1→1**. Max leaps, survivor count static — the filter shrank the sample. Null still wins: 17 null cells vs 15 real"
2026-09-01,H-004,"full grid: fade + carry, z 15/30/90, entry z 1-3, 4 stops, 4 targets, 4 holds, funding-PnL on/off",BTC/ETH/SOL perp,1h,0,nan,nan,nan,nan,nan,PASS,,"{""source"": ""STRATEGY_LOG.md backfill""}","828/34,524 clear 1.20 vs **2** in the null (funding shuffled against real price) — widest stage-1 margin in the project. But 826 of 828 are BTC only"
2026-09-01,H-004,cost stress,BTC/ETH/SOL,,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}",828 clear at 1x → 262 at 2x → 60 at 3x; **0 clear 1.20 at 2x with ≥0.3 trades/day**
2026-09-01,H-004,"**walk-forward**, 12m/3m quarterly, 3 coins x 4 selection rules",BTC/ETH/SOL perp,1h,0,nan,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","**0 of 12 stitched series clear 1.20**, 0 at 2x, 0 survivors. Best BTC 1h f100/n1: PF 1.126, 14/23 quarters >1. Null best 1.005"
2026-09-01,H-005,"full grid: 4 lookbacks x 4 pierce depths x wick req x 5 stops x 5 targets x 4 holds x 3 rvol, 12 markets x 5 TFs, 1x/2x/",12 assets,5m-4h,0,0.718,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","541,474 configs. Real clears 1.20: **1,702**. Paired-shuffle null clears **19,062** — the null is 11x better, and its best is 3.858 vs real 1.929. Only 2 of 57 market x tf combos beat their own null. "
2026-09-01,H-007,"full grid: 2 ranking signals (L-bar return, relative volume) x 1h/4h/1d x 5 lookbacks x top/bottom 1-2 x spread/long-onl","BTC ETH SOL BNB XRP, 15m",resample,0,nan,nan,399.0,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","360 configs. Real clears PF 1.20 at 2x on **23**; paired-null seeds clear **0/1/2/9/14** (mean 5.2) — real wins, but best null cell **1.502 > best real 1.465**. Every gate-clearing cell is 1d with a 7"
2026-09-01,H-007,same grid at **0x cost** (diagnostic: is there any edge at all?),5,coins,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}",95.0% of real configs beat PF 1.0 before costs vs **59.4%** of null configs. So the ranking does carry information — but the edge is ~10% on PF and a 14bps round trip is worth more than that. Median P
2026-09-01,H-007,"**walk-forward**, quarterly, config re-chosen blind on 2x-cost train PF, 24 folds",5 coins,1h/4h/1d,0,1.168,nan,2770.0,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","574 stitched trades, PF at 2x **1.063** — under the 1.20 gate. Null seeds 0.833/1.059/1.065/0.962/0.985: the **best null seed beats the real result**. 2.2% pass rate at the picked risk. Board **3.0/10"
2026-09-01,H-008,"full grid: fade the BTC-hedged residual. 4 TFs x 3 beta windows x 4 lookbacks x 4 z-thresholds x 3 holds x hedged/naked,","ETH SOL BNB XRP vs BTC,",15m-4h,0,nan,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","1,152 configs. **0 clear PF 1.20 at 2x**; paired null clears 2. Null beats real on EVERY cut: median PF@0x 1.005 vs 1.002, >1.0 rate 55.4% vs 51.6%, best PF@2x 1.496 vs 0.940. Same trap as H-005 — a f"
2026-09-01,H-008,**z-response diagnostic**: does a bigger residual revert harder?,4 alts vs,BTC,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Flat. A 3-sigma residual reverts no harder than a 1.5-sigma one — the size of the deviation carries no information about what comes next. Cleanest refutation in the project: not cost-limited, no edge "
2026-09-01,H-008,"hedged vs naked, before and after costs",4 alts vs,BTC,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Removing BTC does leave a marginally more mean-reverting series (+3.6% PF before costs) — but hedging crosses two spreads not one, so after costs the hedge is the worse variant. Both far under 1.0"
2026-09-02,H-001,stage-14 walk-forward re-run to regenerate the board record,BTCUSDT,15m,0,nan,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","Small drift: 472 trades against 470, because `smoke_test.py` appended fresh 15m bars before the re-run. Only ORB drifted; the other five boards reproduced their committed numbers exactly"
2026-09-02,H-006,"**data finding**: Binance publishes open interest, long/short account ratio and taker ratio as daily files back to **202",BTC/ETH/SOL,perps,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","`feed_collector.py` had 2 days because that is the REST limit, not the data limit. BTC alone is 630,659 rows. H-006 was deferred to 2026-10 on a false premise; `core/binance_metrics.py` downloads it"
2026-09-02,H-006,"**stage 1 rank diagnostic**: 20 feed features x 5 horizons, quintile response in bps, block-shuffle null, per-year sign ",BTCUSDT perp,5m,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","`dcrowd_4h` at 24h: quintiles +25.0 / +21.8 / +13.5 / −0.9 / −13.2 bps, monotone, 38bps spread, beats all 5 null seeds, same sign 6 of 7 years. Open interest alone is a **V** (both tails +17bps) — a v"
2026-09-02,H-006,"**stage 2 grid**: 700 configs x 3 coins x 4 cost levels, plus a follow-the-crowd control and a 3-seed null per config",BTC/ETH/SOL,5m,0,nan,nan,nan,nan,nan,NULL,,"{""source"": ""STRATEGY_LOG.md backfill""}","Clears PF 1.20 at 2x on **37** configs against the null's 16; at 1x, 102 against 53. Control: fading the crowd **+13.35 bps/trade**, following it −13.35. Longer holds monotonically better (0.786 at 8h"
2026-09-02,H-006,"**stage 3 walk-forward**, quarterly, config chosen blind on 2x-cost train PF, 53 folds",BTC/ETH/SOL,5m,0,nan,nan,1119.0,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","Per market: BTC 1.227 at 2x (passes), SOL 1.146, ETH 0.854 (fails, −57.9R). BTC-only still needs **548 days** because its equity draws down **63.5R** against H-002's 3.8R. **The killer is drawdown, no"
2026-09-02,H-006,"**stage 4: does a stop fix it?** 540 configs, stop at 0 / 1.0 / 1.5 / 2.0 / 3.0 x trailing sigma, on the region stages 2",BTC/ETH/SOL,5m,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Wider is better; a 1σ stop destroys it (win rate 27%). Return/drawdown median 0.28 → **0.87**. Best single config: SOL crowd_z q0.02 hold 48h stop 3σ, PF@2x **1.427**, maxDD −22.7R, return/DD **7.48**"
2026-09-02,H-006,"**attempt to raise the 1.3**: add `stop_k` to the walk-forward grid (700→2,800 configs) so folds can choose a stop blind",BTC/ETH/SOL,5m,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Stage 4 showed stops help IN SAMPLE (median PF@2x 1.042→1.079, return/DD 0.31→0.90) and the board record never used one. But the fold selector chose **no stop in 45 of 53 folds** — it ranks on profit "
2026-09-02,H-006,"second attempt: rank folds on **return over drawdown** instead of PF, since the board judges on `days = maxDD_R / R_per_",BTC/ETH/SOL,5m,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","It did change the picks (stops in 29 of 52 folds vs 8 of 53) and the book got worse on every measure: PF@2x 1.050→0.990, maxDD 49.8R→57.1R, return/DD 1.69→1.02, R/day 0.0445→0.0309. Both reverted; the"
2026-09-02,H-009,"**lift study**: H-002's own walk-forward trades, kept only when the crowd is positioned against them. Point-in-time gate","9 crypto legs,",walk-for,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Return/drawdown 63.7 → **86.8** keeping 68% of trades. Control: the trades the crowd AGREES with score PF **1.137** and return/DD 2.9, and go negative at a tighter threshold. Almost all of H-002's edg"
2026-09-02,H-009,"**the book**, same selection rule stage 11 used, gate fixed at threshold 0, stage-10 configs unchanged",BTC 4h + ETH 1h + ETH 30m + SOL 4h + XAU,5m,0,nan,3.73,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","vs the identical ungated run: PF 1.768→2.047, PF@2x 1.458→**1.651**, return/DD 24.6→**34.4**, pass 88.0%→**92.4%**, 0% killed both. Gate lifts **6 of 6** crypto legs on PF and drawdown, none hurt. Bea"
2026-09-02,H-009,"**like-for-like null**: phase-randomise the MARKET, as stage 11 does for H-002, and count legs still holding PF 1.20 at ",8 candidate,legs,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}",Real market **6 of 8** legs clear; phase-randomised market **0 of 8**. Margin **1.000** — the same statistic and construction that gives H-002 its 1.000. The first run scored the gate against a shuffl
2026-09-02,H-009,"**held-out validation**, a by-product of the X experiment: measured only on data after 2025-10-01, never used by any boo",5,legs,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","It got *faster* out of sample. Strongest independent check H-009 has had, and it came out of a failed experiment"
2026-09-02,H-009,"**vol-managed sizing overlay**, idea taken from the n5 book's `volmom` leg: scale each trade by inverse trailing MARKET ",5,legs,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Looks like a +20% improvement on return/drawdown in the full window and the gain is **not there held out** — PF 1.649→1.625, days 16.7→16.5, two-step expected days no better. BTC-vol-as-common-driver "
2026-09-02,H-010,"**full grid**: anchored VWAP + 3 SD bands, rejection-candle entry, real taker delta, crowd gate, 4 exits. 2,592 configs ",BTC/ETH/SOL,15m-4h,0,nan,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","The paired null's median PF is HIGHER than the real market's at 0x/1x/2x/3x, and it clears 1.20 at 2x **637 times per seed against 280**. Control: taking every setup the other way scores no worse (0.6"
2026-09-02,H-010,"walk-forward for board parity, config re-chosen blind each quarter on 2x-cost train PF",12,market/t,0,nan,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","2,487 out-of-sample trades. 0% of accounts pass at any risk. Board **1.1/10**. Same family as the prior repo's dead `VWAP std-band fade` (3.0 backtest / 0.7 live on a limit-fill artefact) — with hones"
2026-09-02,H-010,"two bugs found and fixed mid-build, both of which flattered the result",—,,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","(1) the VWAP target could sit BEHIND the entry, booking losses as target hits — 2,096 of them averaging −0.8R; (2) the minimum stop distance was 10bps against a **14bps round trip**, so cost alone was"
2026-09-02,H-011,"**full grid**: sweep of the previous day's or week's extreme, closed back inside; sweep depth, close position, OI-across",BTC/ETH/SOL,15m-4h,0,nan,nan,nan,nan,nan,NULL,,"{""source"": ""STRATEGY_LOG.md backfill""}",**First fade hypothesis here whose real data beats its null at EVERY cost level** (0x 1.052 vs 0.926; 2x 0.739 vs 0.658) and beats its own control at every level. Clears 1.20 at 2x on **952 configs ag
2026-09-02,H-011,"walk-forward, config re-chosen blind each quarter on 2x-cost train PF",12,market/t,0,nan,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","2,241 out-of-sample trades. **0 of 12 panels hold PF 1.20 at 2x on their own** (best BTC 15m 1.126). The stage-1 null margin is real but does not survive blind selection"
2026-09-02,H-011,lever diagnostics,as,above,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","(1) crowd gate lifts it 0.708→**0.772**, a **fourth** independent confirmation of H-009 on a fourth unrelated strategy; (2) OI-across-the-sweep earns its place here (0.708→0.741) where raw OI did noth"
2026-09-02,H-011,"walk-forward null, 5 paired-shuffle seeds on the chosen 12-panel book",12,market/t,0,nan,nan,nan,nan,nan,NULL,,"{""source"": ""STRATEGY_LOG.md backfill""}",Real is clearly ahead of all five seeds (0.716/0.712/0.737/0.624/0.649) — but it is a losing book beating worse-losing books. Board **2.6/10**
2026-09-02,H-012,"**widen the book for speed**: all 57 walk-forwarded legs, crowd gate applied, book chosen greedily to minimise expected ",12 markets x 4-5,TFs,0,nan,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","7.8x slower out of sample. Every variant worse than H-009's plain five: greedy capped at 5 → 62.5d, +silver → 39.5d, +3 FX majors → 23.0d, inverse-vol weighting → 29.2d. **Cause is dilution, not corre"
2026-09-02,H-013,**stage 1 diagnostic**: does `(mark-index)/index` and spot-vs-perp taker flow rank forward returns? 16 features x 5 hori,BTC ETH SOL perp,5m,0,nan,nan,nan,nan,nan,PASS,,"{""source"": ""STRATEGY_LOG.md backfill""}","`prem_z` beats its null in **15 of 15** cells, mean abs IC 0.023 vs H-006's best 0.022 at 53%; stable in 90% of years. Quintile spread only 10.9bps"
2026-09-02,H-013,"tail response, non-overlapping sampling",BTCUSDT perp,5m,0,nan,nan,nan,nan,nan,PASS,,"{""source"": ""STRATEGY_LOG.md backfill""}","monotone in BOTH tail depth and horizon, beats null 12/12. Honest t = 1.0-2.9 (an earlier pass reported 6-23 — inflated ~sqrt(288) by overlapping windows)"
2026-09-02,H-013,confound: is it disguised price reversal? partial IC controlling ret_1h and ret_4h,BTCUSDT,,0,nan,nan,nan,nan,nan,PASS,,"{""source"": ""STRATEGY_LOG.md backfill""}","partial IC **unchanged** (24h −0.0353 → −0.0356), twice price reversal's own −0.0167; q1−q5 spread positive in all 5 return buckets"
2026-09-02,H-013,wide universe diagnostic,BNB XRP DOGE ADA AVAX LINK DOT LTC,5m,0,nan,nan,nan,nan,nan,PASS,,"{""source"": ""STRATEGY_LOG.md backfill""}","`prem_z` beats null **40 of 40** cells, stable 0.875 — but clears 2x cost in only 2.5%"
2026-09-02,H-013,"**stage 2 grid**, 1,408 configs x 3 coins x (1 real + 3 null seeds), holds 8h-72h, trailing-quantile entries, control di",BTC ETH SOL perp,5m,0,nan,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}",real clears PF 1.20 at 2x on 3 of 2112; **null clears 2.0 per seed and its best is 1.280 > real's 1.245**. Control gap 0.845 vs 0.808
2026-09-02,H-013,"stage 2 extended: every winner sat on the hold boundary and median PF rose monotonically, so holds extended once to 72h-",BTC ETH SOL perp,5m,0,nan,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","real 196 of 2112 clear at 2x, **null 203 per seed**, null best 2.546 > real best 2.048. Long holds flatter real and null equally"
